# label=coherent_vis0_bs64_cw2_n200000,mode=coherent,N=200000,vis=0,steps=3000,dt=0.2
step,step_ms,frame_ms
0,0.7782,1.5906
1,0.7997,4.4917
2,0.7383,2.3027
3,0.7629,1.1450
4,0.5806,1.2713
5,0.7168,1.5200
6,0.7076,1.2650
7,0.8909,1.1196
8,0.8673,1.3681
9,0.6103,1.7748
10,0.6431,1.1273
11,1.0271,1.1836
12,0.8622,1.4374
13,0.6881,1.4441
14,0.7270,1.1671
15,1.2001,1.6091
16,1.2339,1.7718
17,0.8356,1.8208
18,0.6656,1.3004
19,0.5519,1.4903
20,1.1612,1.0529
21,0.4915,2.8499
22,0.7557,1.6168
23,0.6287,1.4038
24,0.7045,1.4200
25,0.6676,1.1339
26,0.6451,1.4238
27,0.5417,1.2194
28,0.6973,1.4522
29,0.7987,1.2352
30,0.6666,1.2679
31,0.7997,1.2603
32,0.5325,1.5198
33,0.5161,1.0417
34,0.5632,1.0101
35,1.0045,1.2290
36,0.7209,1.7419
37,0.7465,1.1835
38,0.6851,1.1918
39,0.5294,1.1102
40,0.5407,1.2184
41,0.6861,1.2960
42,0.6236,1.2289
43,0.6021,1.0929
44,0.5437,1.0858
45,0.9042,1.0657
46,0.6564,1.7307
47,0.6318,1.1757
48,0.5345,1.1271
49,0.5509,1.4325
50,0.6380,1.4235
51,0.6830,1.2269
52,0.7864,1.2054
53,0.9298,1.2762
54,0.5888,1.4512
55,0.6646,1.1413
56,0.5632,1.1598
57,0.5806,1.0270
58,0.5898,1.0197
59,0.5939,2.6838
60,1.0639,1.5048
61,0.6103,1.5406
62,0.6871,1.2973
63,0.6943,1.1289
64,0.8663,1.1964
65,1.0803,1.3630
66,0.5970,1.5491
67,0.7127,1.1782
68,0.9708,1.2886
69,0.8520,1.5391
70,0.6144,1.7028
71,0.8069,1.2104
72,0.9462,1.2672
73,1.0260,1.4169
74,0.7578,1.5458
75,0.7956,1.3187
76,0.8212,1.1840
77,0.9492,1.3020
78,0.8520,1.4703
79,0.8233,1.3671
80,0.6697,1.3243
81,0.9779,1.2569
82,0.6605,1.6994
83,0.5786,1.3705
84,0.7629,1.0714
85,0.6779,1.3765
86,0.5591,1.1977
87,0.6656,1.2852
88,0.6984,1.1941
89,0.7496,1.2742
90,0.9021,1.2918
91,0.5878,1.4024
92,0.6707,1.1176
93,0.8909,1.2034
94,1.4684,1.6270
95,0.5612,2.4551
96,0.7475,1.5328
97,0.5837,1.2709
98,0.5437,1.3497
99,0.6984,1.4526
100,0.7107,1.1779
101,0.9554,1.2808
102,0.6646,1.5718
103,0.7977,1.1285
104,0.6257,1.2643
105,0.6472,1.1691
106,0.5366,1.2867
107,0.5437,1.5844
108,0.6697,1.0412
109,0.7014,1.1580
110,0.5059,1.1865
111,0.7096,1.3166
112,0.7004,1.2131
113,0.6052,1.0748
114,1.2052,1.0688
115,0.6052,1.7234
116,0.6472,1.1655
117,0.6994,1.1276
118,0.7444,1.1798
119,0.8858,1.2852
120,0.8110,1.3990
121,0.6001,1.2994
122,0.5816,1.1392
123,1.0168,1.4235
124,0.5827,1.4331
125,0.5765,1.1161
126,0.5990,1.0378
127,0.7547,1.1528
128,0.5673,1.4198
129,0.5683,2.0499
130,0.7025,1.4818
131,1.0138,1.3330
132,0.6072,1.3981
133,0.6799,1.1833
134,0.5304,1.1830
135,0.6912,1.0193
136,0.5786,1.2137
137,0.5601,1.4034
138,0.5837,1.1204
139,0.5612,1.0718
140,0.5724,1.0457
141,0.6001,1.2068
142,0.6072,1.3163
143,0.8161,1.0630
144,1.1151,1.3224
145,0.8622,1.6890
146,0.6226,1.3198
147,0.6257,1.1424
148,0.6205,1.0801
149,0.6328,1.1570
150,0.5386,1.3339
151,0.5315,1.1260
152,0.5663,0.9963
153,0.6083,1.0833
154,0.9298,1.4760
155,0.6216,1.3123
156,0.7731,1.1648
157,0.5888,1.3038
158,0.5612,1.1358
159,0.5437,1.2707
160,0.6881,1.3302
161,0.5806,1.1799
162,0.6124,1.1241
163,0.8499,1.2895
164,0.5765,1.2429
165,0.7219,1.3245
166,0.8458,1.1616
167,0.6257,1.3597
168,1.0097,1.5977
169,0.5796,2.4372
170,0.8079,1.0732
171,1.2308,1.2914
172,0.7066,1.7563
173,0.7608,1.2278
174,0.8673,1.2477
175,0.9093,1.3658
176,0.6195,1.3685
177,0.5990,1.1340
178,0.6195,1.0411
179,0.6124,1.0550
180,1.1336,1.1819
181,0.4813,2.3051
182,0.5960,1.1186
183,0.7434,1.3448
184,0.5704,1.1136
185,0.6902,1.3138
186,0.6277,1.1358
187,0.9748,1.1331
188,0.9738,1.4559
189,0.7250,1.4098
190,0.7178,1.3082
191,0.5919,1.0987
192,1.1049,1.2155
193,0.9124,1.5407
194,0.6083,2.1655
195,0.7731,1.0639
196,0.8817,1.2302
197,0.7219,1.3278
198,0.7772,1.2882
199,0.6728,1.1683
200,0.6902,1.1094
201,0.6605,1.1739
202,0.5806,1.4326
203,0.6124,0.9970
204,0.6554,1.0919
205,1.1848,1.1051
206,0.9400,1.7287
207,0.6134,2.1004
208,0.7629,1.0837
209,0.4854,1.2047
210,0.6246,1.2574
211,0.6502,1.0667
212,0.6042,1.0797
213,0.5734,1.0261
214,0.9185,1.2856
215,0.6820,1.3698
216,0.6380,1.1070
217,0.5990,1.0571
218,0.6175,1.0370
219,0.4895,1.1503
220,0.5028,1.9424
221,0.5837,1.3276
222,0.6216,1.0473
223,0.5243,1.1492
224,0.6636,1.2674
225,0.6748,1.0964
226,0.6287,1.0985
227,0.7209,1.2334
228,0.4690,1.1155
229,0.6205,1.1014
230,0.6492,1.1462
231,0.5857,1.0351
232,1.1264,1.1861
233,0.9595,1.6321
234,0.6052,2.0843
235,0.8960,1.0633
236,0.8868,1.3520
237,0.6523,1.3320
238,0.6574,1.1378
239,0.6001,1.0691
240,0.6083,1.0396
241,0.5775,1.2475
242,0.8765,1.4696
243,0.8243,1.4167
244,0.9032,1.2546
245,0.9021,1.3229
246,0.8151,2.8959
247,0.9114,1.1973
248,0.5192,1.4693
249,0.7311,1.3321
250,0.7270,1.1605
251,0.7014,1.1781
252,0.9318,1.2484
253,0.8223,1.5031
254,1.0035,1.4220
255,0.9974,1.5586
256,1.3865,1.4427
257,1.2483,1.9161
258,0.9810,2.2100
259,0.6533,1.4418
260,0.9114,1.3652
261,0.7291,1.4318
262,0.9923,1.1993
263,1.0547,1.4833
264,0.7926,1.5495
265,0.6840,1.2145
266,1.0844,1.2216
267,1.4531,1.5294
268,0.5530,2.0998
269,1.1581,1.8690
270,1.0148,1.7037
271,0.7936,1.5306
272,0.7608,1.3187
273,0.9288,1.1948
274,1.2780,1.4437
275,0.7526,1.8130
276,0.7506,1.2212
277,1.0404,1.2021
278,0.9882,1.5329
279,0.8684,1.4355
280,0.8141,1.3770
281,0.9380,1.2277
282,1.7295,1.4641
283,0.5612,2.1618
284,0.6820,1.5193
285,1.0363,1.3070
286,0.6410,1.5002
287,0.5478,1.1151
288,0.6472,1.1215
289,0.9134,1.1178
290,0.9114,1.3901
291,0.6390,1.3559
292,0.6769,1.1240
293,0.6062,1.1443
294,1.2483,1.2308
295,0.9912,1.6568
296,0.7567,2.2676
297,0.7926,1.2421
298,0.5509,1.4453
299,0.9247,1.4635
300,0.7066,1.3775
301,0.7496,1.1933
302,0.5437,1.3425
303,0.7629,1.3752
304,0.7025,1.2367
305,0.7660,1.2395
306,1.4950,1.1837
307,0.5693,2.2911
308,0.7168,1.6459
309,0.8837,1.3132
310,0.6001,1.3155
311,0.6676,1.1523
312,0.7137,1.1488
313,1.0045,1.2000
314,0.5663,1.5183
315,0.7066,1.3726
316,0.5960,1.1468
317,0.5765,1.0441
318,1.1899,1.1183
319,0.5243,1.5341
320,0.5827,2.1662
321,0.8765,1.0396
322,0.8970,1.2275
323,0.6963,1.3603
324,0.6380,1.1558
325,0.5704,1.0713
326,0.6513,1.0693
327,0.5110,1.3670
328,0.6799,1.1815
329,0.6973,1.1478
330,0.7301,1.2550
331,0.7219,1.1647
332,0.8643,1.2463
333,0.6134,2.4483
334,0.7567,1.1124
335,0.7834,1.1760
336,0.6175,1.2596
337,0.6482,1.2240
338,1.0414,1.0998
339,0.7854,4.0228
340,0.6830,1.2143
341,0.8530,1.1948
342,0.5274,1.2911
343,0.5560,2.1842
344,0.6543,1.3325
345,0.5908,1.1141
346,0.5990,1.1832
347,0.8069,1.1961
348,0.7711,1.3635
349,0.9073,1.2757
350,1.2083,1.3693
351,0.8632,1.6320
352,0.6410,1.3047
353,0.8909,1.0847
354,1.1346,1.3814
355,0.4864,2.3716
356,0.6021,1.1665
357,0.8561,1.0533
358,0.4874,1.5032
359,0.6083,1.1224
360,0.7424,1.0543
361,0.6707,1.2392
362,0.7997,1.3813
363,0.8612,1.1952
364,0.6554,1.5984
365,0.5386,1.0344
366,0.8059,1.0000
367,0.9800,1.4102
368,0.7342,2.5508
369,0.8284,1.1863
370,0.5233,1.2862
371,0.7260,1.3376
372,0.7496,1.1982
373,0.6267,1.2249
374,0.8704,1.1558
375,0.9359,1.5207
376,0.6185,2.2559
377,0.7281,1.1445
378,0.8376,1.2024
379,0.7086,1.3125
380,0.7137,1.2383
381,0.6994,1.1735
382,0.6554,1.1878
383,0.5734,1.3008
384,0.6257,1.2682
385,0.5325,1.0447
386,0.5509,0.9962
387,0.5571,1.0034
388,0.9380,1.1898
389,0.5816,2.4723
390,0.6308,1.0742
391,0.9861,1.1378
392,0.6799,1.4921
393,0.6554,1.1586
394,0.7117,1.1490
395,0.7987,1.2066
396,0.4833,1.3833
397,0.6185,1.1246
398,0.6758,1.0687
399,0.6349,1.1756
400,0.9769,1.0445
401,0.4895,1.5146
402,0.7188,2.0343
403,0.9196,1.2112
404,0.5847,1.4323
405,0.7004,1.3612
406,0.7076,1.2334
407,0.9554,1.1623
408,0.9288,1.5325
409,0.7936,1.5145
410,0.7782,1.2240
411,0.5909,1.3156
412,0.9810,1.0962
413,0.7793,1.5284
414,0.5376,2.4941
415,0.6769,1.0145
416,0.5448,1.1744
417,0.5601,1.2781
418,0.5642,1.0696
419,0.6574,1.0662
420,0.7363,1.1150
421,0.8714,1.2099
422,0.6513,1.3726
423,0.6564,1.1015
424,0.6738,1.1345
425,0.5591,1.1380
426,1.0394,1.0978
427,0.6369,2.5689
428,0.9933,1.1454
429,0.5110,1.5715
430,0.9042,1.2098
431,1.0086,1.3731
432,1.0578,1.4729
433,0.8520,1.4871
434,1.4828,2.6569
435,1.2083,1.9553
436,0.5448,1.8495
437,0.8161,1.0448
438,0.6298,1.3532
439,0.8100,1.1590
440,0.8417,1.1965
441,0.5775,1.3164
442,0.6799,1.0496
443,0.6195,1.1471
444,0.5980,1.0811
445,0.9595,1.1536
446,0.5663,2.5271
447,0.9298,1.2258
448,0.5960,1.3278
449,0.6717,1.3688
450,0.6400,1.1232
451,0.6953,1.1190
452,0.8796,1.1986
453,0.9503,1.4690
454,0.6369,2.3901
455,0.9011,1.0940
456,0.5284,1.4178
457,0.5222,1.3016
458,0.6738,1.0014
459,0.6830,1.1171
460,0.7219,1.1632
461,0.5601,1.1513
462,0.6820,1.3642
463,0.6154,1.1533
464,0.5345,1.0407
465,0.9626,0.9821
466,1.0650,1.6019
467,0.7752,2.2657
468,0.6799,1.2718
469,0.8561,1.1585
470,0.5396,1.3254
471,0.6820,1.0375
472,0.7608,1.2004
473,0.4966,1.2441
474,0.5212,1.1319
475,0.6318,1.3145
476,0.6380,1.0723
477,0.7291,1.2185
478,1.4561,1.3175
479,0.5837,2.0251
480,0.7148,1.6829
481,0.8530,1.2048
482,0.5028,1.3070
483,0.6666,1.1919
484,0.6810,1.2864
485,0.7311,1.0146
486,1.2872,1.3770
487,0.5796,1.7593
488,0.6656,1.8104
489,0.8899,1.1589
490,0.5315,1.3583
491,0.6636,1.3848
492,0.6103,1.1336
493,0.6830,1.1092
494,0.9185,1.3541
495,0.8325,1.4925
496,0.7209,2.4542
497,1.1264,1.2324
498,0.6676,1.6974
499,0.5857,1.1807
500,0.6175,1.0413
501,0.7916,1.1447
502,1.0455,1.2774
503,0.7404,1.5016
504,0.7649,1.2054
505,0.7516,1.2064
506,1.5729,1.3195
507,0.5048,2.2630
508,0.5929,1.2928
509,0.8458,1.0976
510,0.9339,1.2962
511,0.6676,1.4629
512,0.7086,1.1609
513,0.7854,1.2698
514,1.6169,1.2458
515,0.5755,2.1305
516,0.6656,1.5911
517,0.7885,1.1496
518,0.5571,1.2876
519,0.6656,1.3561
520,0.7250,1.2337
521,0.6625,1.1405
522,1.3302,1.1468
523,0.5407,1.7125
524,0.6922,1.8417
525,0.8520,1.1776
526,0.5376,1.3205
527,0.5407,1.2766
528,0.6932,1.1327
529,0.6892,1.1972
530,0.6083,1.1541
531,1.0875,1.1248
532,0.6799,2.6087
533,0.7434,1.1587
534,0.5755,1.2316
535,0.6984,1.4063
536,0.6707,1.2265
537,0.6328,1.1129
538,0.8612,1.0804
539,0.9748,1.4663
540,0.6871,2.4064
541,0.9083,1.1461
542,0.5560,1.4216
543,0.6789,1.3355
544,0.7455,1.1515
545,0.6349,1.1937
546,0.9339,1.1218
547,0.8724,1.5079
548,0.6554,2.3331
549,0.8550,1.1791
550,0.4915,1.3357
551,0.6062,1.2581
552,0.6420,1.1337
553,0.6728,1.1157
554,0.5212,1.1363
555,0.5325,1.1683
556,0.6615,1.2472
557,0.6380,1.1483
558,0.6328,1.1089
559,0.9841,1.3088
560,1.0516,1.4104
561,0.6687,2.2279
562,0.8182,1.1609
563,0.6349,1.2629
564,0.6564,1.4440
565,0.5632,1.1704
566,0.6062,1.0343
567,0.7496,1.0528
