# label=naive_vis1_bs128_cw2_n20000,mode=naive,N=20000,vis=1,steps=3000,dt=0.2
step,step_ms,frame_ms
0,3.1468,0.9344
1,3.0065,7.9662
2,3.1222,141.2615
3,2.2682,4.3080
4,3.0372,3.6577
5,4.2301,4.5293
6,2.9932,5.3202
7,2.9307,4.2332
8,2.2671,3.7492
9,3.0720,3.0644
10,2.7740,4.0385
11,2.2682,3.7818
12,3.2000,3.1515
13,2.7730,4.1129
14,2.2671,3.9600
15,3.0710,3.0163
16,2.2661,4.0022
17,2.7904,3.2390
18,4.0847,3.8822
19,2.6870,4.9261
20,2.2661,3.4595
21,2.9819,3.0369
22,2.6460,3.9748
23,2.2651,3.4812
24,2.9430,3.0873
25,2.2651,3.9175
26,2.2651,3.0778
27,2.6460,3.2188
28,2.2641,3.4853
29,2.9420,3.0428
30,2.2630,3.9726
31,2.2630,3.2420
32,4.1462,3.4075
33,2.2630,4.9672
34,2.2641,3.1012
35,3.2020,3.1106
36,2.2630,4.6152
37,2.2630,3.3773
38,2.6460,3.0048
39,2.2630,3.4165
40,2.9389,2.9536
41,2.2620,3.7285
42,2.2630,3.2311
43,2.6460,3.2125
44,2.2630,3.6592
45,2.9399,3.2576
46,3.5553,4.1293
47,2.2610,4.7432
48,2.2620,3.0571
49,2.6829,3.1203
50,2.2610,3.4935
51,2.9389,3.0288
52,2.2610,3.6673
53,2.2600,3.1041
54,2.6419,3.1868
55,2.2589,3.4659
56,2.9368,2.9888
57,2.2589,3.8267
58,2.9379,3.1071
59,2.6399,4.0249
60,2.2600,3.5690
61,4.0090,3.2392
62,2.9727,4.9363
63,2.7986,4.1709
64,2.2589,3.5884
65,2.6706,2.9964
66,2.2589,3.5908
67,2.2579,3.2100
68,2.6440,3.3741
69,2.2579,3.4383
70,2.6429,3.0831
71,2.2579,3.5752
72,2.2589,3.9294
73,3.7140,3.3585
74,2.6491,4.9322
75,2.2589,3.9305
76,2.9553,3.3988
77,3.4038,3.9474
78,2.2589,4.4460
79,2.2569,3.3894
80,3.5062,3.6198
81,2.6849,4.9574
82,2.2569,3.5745
83,2.9757,3.1077
84,2.2579,3.9273
85,2.9809,3.2645
86,2.2569,4.9874
