# label=scattered_vis0_bs128_cw2_n500000,mode=scattered,N=500000,vis=0,steps=3000,dt=0.2
step,step_ms,frame_ms
0,16.6400,1.5070
1,16.6031,19.0089
2,16.4434,17.6557
3,16.2970,17.0363
4,15.8085,16.8365
5,16.3011,16.4592
6,15.9560,16.9208
7,16.4669,16.5831
8,18.2886,17.1682
9,16.6277,19.0887
10,17.2042,17.1677
11,16.9390,18.0092
12,16.7444,17.5745
13,16.4086,17.3277
14,18.1146,17.0489
15,13.8578,18.9752
16,14.1373,14.6467
17,16.2068,15.0794
18,13.7759,16.7828
19,13.6264,14.8093
20,16.3267,14.3840
21,14.0810,16.7854
22,14.9873,15.0815
23,16.9431,15.9824
24,13.7513,17.5533
25,16.8059,14.2648
26,16.1751,17.3667
27,13.8097,16.8503
28,14.0585,14.2510
29,17.8094,14.7528
30,14.3206,18.3285
31,13.7349,14.8265
32,16.0256,14.2447
33,13.7820,16.6408
34,13.9592,14.1834
35,13.5557,14.4867
36,15.4952,14.2259
37,14.7476,16.0434
38,13.3315,15.2676
39,15.7522,13.9221
40,14.0380,16.3348
41,13.8875,14.5799
42,13.7011,14.3586
43,15.6805,14.3352
44,14.9586,16.3974
45,16.0184,15.5272
46,16.9308,16.6986
47,16.3226,17.5496
48,17.5565,16.8910
49,16.7578,18.3290
50,15.5791,17.4680
51,16.6922,16.2003
52,15.3354,17.2173
53,16.4096,15.9912
54,15.4173,17.0738
55,17.0537,16.0837
56,15.4685,17.7696
57,18.6429,16.3761
58,15.3866,19.2532
59,15.5894,16.1077
60,16.1638,16.2426
61,15.1992,16.8246
62,14.4998,16.0508
63,14.1763,16.0076
64,15.1992,15.7394
65,16.8602,17.1688
66,16.0195,17.3698
67,15.5996,16.6505
68,15.5904,16.1758
69,16.6277,16.2172
70,14.8777,17.2083
71,15.9447,16.3047
72,16.4874,16.4982
73,14.9576,17.0739
74,16.3144,15.5124
75,15.0292,16.9117
76,15.2658,16.0670
77,15.1552,15.8351
78,16.7752,15.9241
79,16.4567,17.6167
80,15.0180,17.0553
81,16.1782,15.9045
82,15.7133,16.7183
83,16.7414,16.3294
84,13.5752,17.3699
85,17.3629,14.3614
86,15.8638,17.8901
87,16.0758,16.5866
88,15.1327,16.6436
89,15.3170,15.8604
90,13.8783,15.8754
91,13.8834,14.6419
92,17.2319,15.5629
93,14.5818,17.8980
94,14.7661,16.3639
95,14.9832,16.3763
96,16.0041,15.5602
97,13.8127,16.6463
98,13.7032,14.2727
99,13.7687,14.1185
100,13.7964,14.2889
101,14.8265,14.4244
102,13.3990,15.3054
103,13.2956,13.8953
104,13.5076,13.8803
105,13.2362,14.0445
106,13.4431,13.7079
107,13.1348,13.9266
108,13.7851,13.8320
109,14.8388,14.2157
110,13.1021,15.4379
111,13.3274,13.8337
112,13.3765,14.3385
