label,mode,vis,bs,cw,n,samples,total_steps,step_mean,step_median,step_p99,step_min,step_std,frame_mean,frame_median,frame_p99,frame_min,frame_std,fps,fps_low1,step_fps
coherent_vis0_bs128_cw1_n5000,coherent,0,128,1,5000,2800,3000,0.2232,0.1597,0.8909,0.1321,0.1480,0.7360,0.6435,1.8745,0.4710,0.2400,1358.6893,454.5750,4480.2824
coherent_vis0_bs128_cw1_n20000,coherent,0,128,1,20000,2800,3000,0.4496,0.3953,1.0006,0.2642,0.1620,0.9697,0.8813,2.2523,0.7424,0.2664,1031.2198,382.8384,2224.2207
coherent_vis0_bs128_cw1_n50000,coherent,0,128,1,50000,2800,3000,0.4763,0.4424,0.9873,0.2806,0.1498,0.9824,0.9258,1.8652,0.7560,0.2169,1017.9105,421.5680,2099.4162
coherent_vis0_bs128_cw1_n200000,coherent,0,128,1,200000,2800,3000,0.3137,0.2560,0.9277,0.2181,0.1435,0.8498,0.7687,2.1017,0.5698,0.2710,1176.7162,401.2255,3187.6519
coherent_vis0_bs128_cw1_n500000,coherent,0,128,1,500000,2800,3000,0.9086,0.8755,1.3711,0.6748,0.1518,1.4312,1.3809,2.6063,1.2134,0.2232,698.7171,342.3054,1100.6023
coherent_vis0_bs128_cw1_n1000000,coherent,0,128,1,1000000,2800,3000,2.3044,2.1878,3.7418,1.6865,0.3525,2.8137,2.7403,4.3242,2.3470,0.3886,355.4037,217.5014,433.9605
scattered_vis0_bs128_cw1_n5000,scattered,0,128,1,5000,2800,3000,0.2233,0.1925,0.8182,0.1341,0.1249,0.7423,0.6646,1.9770,0.4817,0.2459,1347.1181,432.3289,4478.1958
scattered_vis0_bs128_cw1_n20000,scattered,0,128,1,20000,2800,3000,0.5168,0.4762,1.0681,0.3226,0.1517,1.0305,0.9584,2.1680,0.7974,0.2472,970.3669,383.5969,1935.0549
scattered_vis0_bs128_cw1_n50000,scattered,0,128,1,50000,2800,3000,0.5460,0.5181,1.0383,0.3471,0.1421,1.0596,1.0051,2.0540,0.8338,0.2206,943.7693,396.1444,1831.5429
scattered_vis0_bs128_cw1_n200000,scattered,0,128,1,200000,2800,3000,0.8450,0.8033,1.2974,0.7629,0.1115,1.3920,1.3121,2.6732,1.1086,0.2549,718.3877,333.3790,1183.4347
scattered_vis0_bs128_cw1_n500000,scattered,0,128,1,500000,2800,3000,9.2453,9.0875,10.8794,8.4859,0.5518,9.7970,9.6410,11.5237,9.0217,0.5620,102.0717,82.8112,108.1628
scattered_vis0_bs128_cw1_n1000000,scattered,0,128,1,1000000,2800,3000,63.8008,63.7972,64.9425,62.5971,1.4778,64.3637,64.3514,65.5937,63.1426,1.4859,15.5367,13.5788,15.6738
coherent_vis0_bs32_cw2_n200000,coherent,0,32,2,200000,2800,3000,0.7553,0.7260,1.2820,0.5652,0.1529,1.2840,1.2259,2.4148,1.0482,0.2382,778.8104,349.4557,1323.8918
coherent_vis0_bs32_cw2_n1000000,coherent,0,32,2,1000000,2800,3000,6.3320,6.2495,7.2224,5.9894,0.2920,6.8588,6.7645,7.7716,6.5416,0.3117,145.7974,117.7886,157.9278
naive_vis0_bs32_cw2_n200000,naive,0,32,2,200000,100,300,136.6633,136.7030,141.8893,133.0801,2.3214,137.1900,137.2086,142.4120,133.5852,2.3139,7.2892,6.9700,7.3173
scattered_vis0_bs32_cw2_n200000,scattered,0,32,2,200000,2800,3000,1.5266,1.4162,2.8672,1.2575,0.2763,2.0519,1.9386,3.5906,1.7616,0.3109,487.3543,262.1075,655.0656
scattered_vis0_bs32_cw2_n1000000,scattered,0,32,2,1000000,2222,2422,102.1201,105.7357,135.4075,23.7517,20.4236,102.6636,106.3253,134.5101,24.2248,20.4975,9.7406,5.7972,9.7924
coherent_vis0_bs64_cw2_n200000,coherent,0,64,2,200000,2800,3000,0.6647,0.6267,1.2084,0.4516,0.2254,1.1916,1.1200,2.4725,0.9179,0.2996,839.1813,308.8766,1504.5320
coherent_vis0_bs64_cw2_n1000000,coherent,0,64,2,1000000,2800,3000,4.1781,4.2455,4.9482,3.4877,0.4125,4.7071,4.7433,6.0287,4.1510,0.4058,212.4465,144.5664,239.3438
naive_vis0_bs64_cw2_n200000,naive,0,64,2,200000,100,300,104.4171,104.3569,105.7787,103.1926,0.6433,104.9757,104.9316,106.2920,103.7250,0.6388,9.5260,9.3923,9.5770
scattered_vis0_bs64_cw2_n200000,scattered,0,64,2,200000,2800,3000,1.6456,1.5278,2.9871,1.3158,0.6556,2.1725,2.0497,3.6734,1.8040,0.6964,460.3094,200.2071,607.6912
coherent_vis0_bs128_cw2_n5000,coherent,0,128,2,5000,2800,3000,0.2227,0.1587,0.8860,0.1239,0.1518,0.7503,0.6464,1.9317,0.4489,0.2729,1332.8616,437.2650,4490.5517
coherent_vis0_bs128_cw2_n10000,coherent,0,128,2,10000,2800,3000,0.2212,0.1638,0.6728,0.1300,0.1209,0.7290,0.6541,1.4898,0.4622,0.2071,1371.6594,486.5926,4521.1015
coherent_vis0_bs128_cw2_n20000,coherent,0,128,2,20000,2800,3000,0.2421,0.1731,0.7979,0.1403,0.1482,0.7619,0.6704,1.9139,0.4906,0.2582,1312.4853,426.9432,4130.6501
coherent_vis0_bs128_cw2_n50000,coherent,0,128,2,50000,2800,3000,0.2535,0.1946,0.7712,0.1536,0.1269,0.7721,0.6885,1.8747,0.4972,0.2339,1295.2347,434.1678,3945.4207
coherent_vis0_bs128_cw2_n100000,coherent,0,128,2,100000,2800,3000,0.3030,0.2304,0.9249,0.1997,0.1502,0.8418,0.7633,2.0660,0.5461,0.2682,1187.9636,410.5524,3300.6957
coherent_vis0_bs128_cw2_n200000,coherent,0,128,2,200000,2800,3000,0.6357,0.6052,1.1818,0.4229,0.1561,1.1779,1.1071,2.3911,0.9085,0.2713,848.9810,359.7788,1573.0795
coherent_vis0_bs128_cw2_n500000,coherent,0,128,2,500000,2800,3000,1.3012,1.2708,1.8166,1.0363,0.1746,1.8482,1.7749,2.9831,1.5872,0.2445,541.0573,303.7282,768.5279
coherent_vis0_bs128_cw2_n1000000,coherent,0,128,2,1000000,2800,3000,3.8891,3.9660,5.0478,3.2676,0.3904,4.4337,4.5072,6.0215,3.9330,0.3788,225.5462,153.2053,257.1265
naive_vis0_bs128_cw2_n5000,naive,0,128,2,5000,2800,3000,0.5482,0.5478,0.5530,0.5437,0.0025,1.0974,1.0225,2.1581,0.8650,0.2236,911.2266,401.3019,1824.2260
